,labels,probabilities
11252_s_at,5,0.5245464956795692
11254_at,7,0.9943185224528126
11255_at,5,0.6858870148196209
11256_at,2,0.990821824905914
11258_at,2,0.9569726191746429
11259_at,7,0.9973572840462167
11260_at,0,0.999738664746561
11263_f_at,3,0.998424367622878
11264_f_at,3,0.9997399537110412
11272_at,5,0.99838356759257
11274_at,6,0.9227046041141945
11287_f_at,2,0.986062886294122
11289_at,4,0.8583228377397534
11294_g_at,2,0.9827229198601966
11296_s_at,2,0.913725741630494
11297_at,4,0.970769329858669
11313_at,2,0.893170298658508
11314_at,7,0.9981732632730524
11316_r_at,2,0.9199414600517766
11318_at,2,0.9651033717016683
11320_at,3,0.9997814273353604
11325_at,7,0.9984752587389246
11328_at,7,0.9998617350394673
11329_at,3,0.999018567517497
11330_at,3,0.9995403736745191
11331_at,2,0.9855436148974374
11333_at,3,0.9981362656857468
11336_at,4,0.9968934029601569
11337_at,4,0.9273462867908792
11338_at,3,0.9943612828161404
11339_at,4,0.9984426380450615
11340_at,2,0.9164851794423742
11342_at,0,0.9999748315660885
11343_at,3,0.9725007105190537
11344_at,7,0.9538906916661273
11348_at,3,0.9899544731616079
11350_at,2,0.8682135218019295
11355_at,3,0.999772145378164
11356_at,4,0.9986936745943922
11359_at,4,0.9921356042139661
11362_at,7,0.9978592052792346
11364_at,3,0.9979716414141119
11369_at,3,0.9536210541216665
11373_at,0,0.9990727751374316
11374_at,3,0.9937318433094551
11376_at,7,0.664493994859396
11377_at,6,0.7889736930168622
11386_at,2,0.7693274793411232
11387_at,4,0.9851607464571783
11388_at,5,0.9877885424534191
11389_at,0,0.999973060909184
11390_at,3,0.7679777222491285
11392_at,4,0.9276582818578698
11403_at,6,0.9806606913664336
2105_s_at,2,0.9830366925416444
2121_s_at,0,0.933417112235657
2162_g_at,7,0.9562425174499228
2163_s_at,7,0.9127908311662044
2175_s_at,6,0.9800409794664782
2176_s_at,6,0.8864418140713943
2177_s_at,6,0.9986672529913327
2179_at,2,0.9947449747401492
2183_s_at,3,0.632306661084863
2215_g_at,0,0.9905072330463547
2216_s_at,0,0.9877421929623614
2217_s_at,0,0.7171004816842839
2218_s_at,0,0.8846904091280432
2253_s_at,0,0.9852349880061302
2259_at,4,0.9955089481995323
2260_g_at,4,0.998083581033427
2261_s_at,4,0.9983866593006211
2275_g_at,3,0.9994198414760286
2280_s_at,3,0.9967966309091102
2281_s_at,3,0.9908433713319518
2282_s_at,3,0.9888686217723709
2302_at,2,0.9884929804536402
2337_at,2,0.9607874463001512
2358_at,2,0.8752598030428631
2362_s_at,0,0.9546030179661987
2364_s_at,3,0.7531797345536777
2381_s_at,3,0.7074487742873787
2382_s_at,3,0.9773275730335541
2395_at,2,0.9984555850533597
2397_at,2,0.8636249422801809
2405_at,2,0.9969449391992352
2410_g_at,0,0.999403407014784
2418_at,6,0.9273060458728892
2419_g_at,6,0.9951446559883796
2420_s_at,6,0.9923053471169189
2421_at,3,0.9298332882685194
2436_g_at,3,0.9973028014574792
2437_s_at,3,0.9515096375752856
2458_g_at,3,0.6836759121085836
2467_s_at,0,0.9998317229704001
2468_s_at,0,0.9923809745163251
2469_s_at,0,0.9925111067652678
2478_at,6,0.8662344372797527
2487_at,0,0.99981636951224
2488_at,3,0.7604850204289971
2564_s_at,2,0.9679207859722186
2566_s_at,2,0.9931996379773858
2591_s_at,3,0.9951727450758404
2592_s_at,0,0.9046797685824567
2593_s_at,0,0.8802209439981326
2595_at,3,0.9824404374318625
2599_s_at,3,0.9646582414337475
2605_s_at,2,0.9778926525152685
2606_s_at,2,0.972120365185005
2608_at,0,0.9523459187156961
2609_at,0,0.9314784025174427
2616_at,3,0.954211008627404
2622_s_at,6,0.9880760840221163
2623_s_at,6,0.909409183767006
2624_s_at,6,0.9238316543967433
2632_at,3,0.9885288214041108
2644_s_at,3,0.9904299227352749
2645_s_at,3,0.9958485671987132
2685_at,6,0.9627041609707374
2728_s_at,7,0.9965538707540368
2729_at,5,0.8709121101467284
2733_g_at,3,0.8316978844402146
2734_s_at,0,0.5047940456559713
2735_s_at,3,0.9671066696910925
2743_at,2,0.9855665593162647
2776_at,2,0.9906376981251344
2805_g_at,7,0.9954780001449456
2806_s_at,7,0.9577849876157397
2810_at,2,0.9562912613813546
2823_at,0,0.7414414589507938
2824_at,0,0.9989254759321683
2839_s_at,3,0.9399789404583715
2840_s_at,3,0.9222792965984898
2841_s_at,3,0.9975408903492265
2842_at,0,0.7649493291870417
2848_s_at,3,0.9620723385229342
2855_s_at,2,0.7592816251009957
2870_s_at,3,0.9984941869009125
2888_at,3,0.8928838488947568
2900_at,0,0.9999445830249164
2933_at,2,0.9781133632106394
2968_s_at,4,0.5922520631308674
2969_s_at,4,0.96658483105544
2970_s_at,2,0.9797263935741956
2971_at,0,0.8437374594818912
2972_at,0,0.9987764175009886
3011_s_at,5,0.9417799495646771
3012_s_at,5,0.9923266222565005
3033_s_at,3,0.9051975652439763
3046_at,0,0.9926183905147997
3057_s_at,5,0.9963531706996295
3058_s_at,5,0.9881585573145709
3090_s_at,4,0.6752423459135005
3106_s_at,2,0.9618469188288861
3184_s_at,7,0.9998308156799827
3187_s_at,7,0.9898992456201914
3190_f_at,5,0.7763990715320573
3207_i_at,5,0.9399691856182215
3208_f_at,5,0.8307737515833644
3215_f_at,2,0.9919293149219767
3216_at,2,0.9932349036688821
